21500013,1,118.29,0.63,28.94,0.786,23.19,0.357,25.73,16.68,12.81,37.11,7.4,6.41,18.78,109.3,0.661,20.81,0.816,20.93,0.383,26.43,13.03,9.45,34.08,8.37,5.98,16.14
21500014,0,107.73,0.561,25.07,0.77,22.72,0.338,22.4,17.6,11.73,32.75,8.32,4.05,21.65,100.49,0.611,23.25,0.817,28.2,0.351,24.52,12.2,8.06,30.39,7.02,2.42,18.53
21500015,1,109.79,0.622,23.93,0.754,30.96,0.381,23.02,14.52,11.46,33.69,6.81,4.65,21.78,113.0,0.585,24.14,0.795,25.25,0.349,22.82,13.34,8.93,30.98,7.83,4.96,18.85
21500016,0,112.27,0.568,28.07,0.727,23.86,0.361,27.44,17.14,9.25,34.38,9.25,3.78,19.24,119.56,0.616,30.83,0.713,25.08,0.379,26.3,13.04,8.07,34.36,8.07,4.64,19.23
21500017,0,107.65,0.582,28.04,0.807,29.31,0.319,18.12,13.5,9.81,30.46,7.04,4.04,18.58,108.46,0.612,29.75,0.81,16.63,0.34,22.85,14.48,9.84,30.2,7.92,4.75,18.21
21500018,0,108.65,0.593,24.92,0.778,24.7,0.359,21.15,14.84,8.97,33.56,9.08,5.21,20.16,100.19,0.552,23.48,0.787,16.89,0.333,20.72,12.01,10.62,31.02,8.39,4.46,19.76
21500019,0,101.49,0.625,23.72,0.808,21.81,0.346,21.09,12.58,10.54,33.79,6.11,5.63,18.69,108.4,0.644,20.83,0.807,28.17,0.366,27.22,15.5,8.88,33.73,9.11,5.92,19.41
21500020,1,119.56,0.616,30.83,0.713,25.08,0.379,26.3,13.04,8.07,34.36,8.07,4.64,19.23,98.78,0.75,25.35,0.783,21.73,0.34,20.86,12.17,11.44,37.08,6.81,4.78,19.99
21500021,1,104.91,0.654,22.28,0.735,28.29,0.371,23.22,12.97,11.08,35.13,6.37,3.77,19.69,105.56,0.559,25.28,0.748,18.91,0.332,20.15,13.36,10.07,35.05,6.78,6.68,16.96
21500022,0,102.73,0.577,20.52,0.767,20.63,0.347,25.74,13.36,9.67,31.17,8.25,4.13,18.57,118.29,0.63,28.94,0.786,23.19,0.357,25.73,16.68,12.81,37.11,7.4,6.41,18.78
21500023,0,94.51,0.615,22.31,0.683,23.87,0.342,17.87,14.75,9.96,30.58,7.44,6.84,20.75,104.88,0.588,27.7,0.734,21.88,0.362,18.58,14.18,11.54,32.32,7.26,5.39,18.91
21500024,0,108.22,0.579,23.88,0.794,28.37,0.328,25.19,13.36,10.63,31.88,10.08,4.05,21.14,105.4,0.582,28.13,0.781,24.52,0.377,18.68,11.89,10.4,32.69,8.07,5.1,18.36
21500025,1,100.1,0.558,24.43,0.647,27.91,0.348,19.52,13.41,11.99,32.71,7.31,3.16,18.32,104.93,0.578,23.87,0.783,18.26,0.373,25.08,14.3,12.76,37.62,6.38,6.6,17.71
21500026,1,108.62,0.662,22.26,0.791,24.95,0.358,27.28,15.66,9.79,35.72,9.79,6.24,19.45,104.78,0.598,24.63,0.795,28.66,0.352,22.05,11.87,8.96,35.49,7.05,5.71,17.57
21500027,0,99.63,0.614,23.49,0.759,16.89,0.356,27.66,15.74,10.18,32.29,8.33,4.98,20.25,106.87,0.6,21.86,0.754,25.04,0.368,26.47,13.73,8.02,29.66,8.57,3.51,17.9
21500028,1,109.3,0.661,20.81,0.816,20.93,0.383,26.43,13.03,9.45,34.08,8.37,5.98,16.14,98.48,0.57,20.98,0.786,16.59,0.348,28.69,15.84,9.21,32.11,8.14,3.64,17.13
21500029,0,104.92,0.572,25.82,0.777,24.2,0.341,24.2,14.1,11.28,32.44,7.49,4.23,19.2,108.46,0.612,29.75,0.81,16.63,0.34,22.85,14.48,9.84,30.2,7.92,4.75,18.21
21500030,0,104.33,0.61,31.22,0.683,27.33,0.35,23.22,15.33,11.78,33.44,10.11,5.78,21.0,118.53,0.671,23.0,0.759,33.88,0.415,29.8,14.62,8.95,33.2,8.84,4.76,18.13
21500031,1,112.27,0.568,28.07,0.727,23.86,0.361,27.44,17.14,9.25,34.38,9.25,3.78,19.24,103.1,0.576,27.04,0.805,26.81,0.316,18.1,13.29,9.74,30.93,7.1,4.12,18.79
21500032,1,107.73,0.561,25.07,0.77,22.72,0.338,22.4,17.6,11.73,32.75,8.32,4.05,21.65,109.79,0.622,23.93,0.754,30.96,0.381,23.02,14.52,11.46,33.69,6.81,4.65,21.78
21500033,0,105.12,0.595,24.09,0.779,24.75,0.359,20.98,14.43,8.99,32.86,8.88,5.22,19.98,104.88,0.588,27.7,0.734,21.88,0.362,18.58,14.18,11.54,32.32,7.26,5.39,18.91
21500034,0,111.62,0.617,24.19,0.735,22.17,0.371,27.0,14.63,8.66,31.95,8.78,3.94,18.68,101.49,0.625,23.72,0.808,21.81,0.346,21.09,12.58,10.54,33.79,6.11,5.63,18.69
21500035,0,112.82,0.572,24.02,0.799,28.1,0.355,24.45,13.08,7.72,28.63,8.47,4.29,18.12,118.53,0.671,23.0,0.759,33.88,0.415,29.8,14.62,8.95,33.2,8.84,4.76,18.13
