game_id, win_result, home_pts, home_ ts_pct, home.fta, home.ft_pct, home.fg3a, home.fg3_pct, home.ast, home.tov, home.oreb, home.dreb, home.stl, home.blk, home.defl, home.lb_rec, home.cont_2, home.cont_3, home.defg_pct, home.off_rtg, home.def_rtg, home.pf, away.pts, away.ts_pct, away.fta, away.ft_pct, away.fg3a, away.fg3_pct, away.ast, away.tov, away.oreb, away.dreb, away.stl, away.blk, away.defl, away.lb_rec, away.cont_2, away.cont_3, away.defg_pct, away.off_rtg, away.def_rtg, away.pf
21800036,0,111.32,0.545,23.0,0.816,30.49,0.352,21.16,12.91,12.26,36.35,6.73,2.06,11.16,8.04,32.57,23.58,0.542,106.98,115.09,18.99,111.42,0.541,23.56,0.761,38.73,0.343,28.95,17.92,9.15,29.95,8.77,4.39,14.6,9.73,34.36,24.09,0.546,105.85,111.72,21.56
21800037,0,115.93,0.545,25.57,0.719,35.83,0.348,24.94,14.06,11.41,34.56,8.98,4.23,14.48,9.32,39.06,24.48,0.529,110.01,105.43,20.5,115.21,0.56,22.56,0.726,30.44,0.386,24.25,12.25,11.28,34.08,8.0,4.85,14.07,8.68,36.25,25.49,0.532,109.14,109.46,19.89
21800038,1,114.18,0.566,21.45,0.769,29.75,0.353,28.95,12.92,12.34,33.56,8.53,4.38,15.28,9.23,32.26,25.49,0.518,111.86,106.67,20.18,121.49,0.612,21.8,0.816,36.37,0.388,31.66,14.34,9.06,35.56,7.92,6.77,14.4,8.76,40.36,25.71,0.499,115.9,106.86,20.54
21800039,1,120.71,0.577,28.84,0.818,29.28,0.388,25.23,13.22,7.87,32.88,6.66,4.15,12.18,8.13,37.05,22.09,0.516,111.07,109.78,20.21,120.07,0.576,26.34,0.781,47.03,0.354,17.63,12.41,10.89,33.54,7.84,5.55,14.11,8.55,34.55,21.7,0.528,112.57,109.66,21.78
21800040,0,117.74,0.566,19.8,0.81,36.7,0.37,28.41,12.91,8.07,34.55,9.26,4.52,14.64,8.59,30.41,25.87,0.516,110.5,106.42,17.87,113.75,0.55,19.48,0.792,34.46,0.356,25.11,13.29,10.14,36.38,6.42,5.97,10.94,7.83,38.52,18.92,0.525,106.98,107.06,17.57
21800041,1,124.48,0.592,24.98,0.808,33.1,0.374,26.58,13.88,10.46,37.9,7.9,5.77,14.88,8.99,43.91,25.36,0.509,113.76,105.92,20.18,109.36,0.557,22.19,0.811,30.99,0.356,23.94,11.27,9.33,33.44,7.57,5.01,13.45,8.12,37.6,25.84,0.524,109.92,110.23,17.96
21800042,1,128.28,0.593,26.2,0.786,38.35,0.351,27.28,14.53,9.17,40.26,7.74,6.07,13.41,8.67,45.56,26.55,0.503,113.56,102.73,19.65,108.55,0.531,23.65,0.795,30.62,0.337,20.79,13.82,10.33,33.86,6.85,2.61,11.17,8.59,33.95,23.51,0.55,104.1,111.53,20.17
21800043,1,122.04,0.552,29.18,0.806,24.16,0.342,30.95,13.59,11.29,29.7,8.99,4.81,15.44,8.87,35.92,25.64,0.538,111.02,110.83,17.57,113.44,0.556,23.08,0.751,25.14,0.371,28.71,14.52,9.53,36.08,9.53,4.88,15.94,9.59,35.69,26.86,0.527,108.51,104.95,18.42
21800044,1,105.47,0.566,26.31,0.726,31.0,0.343,25.51,15.56,12.24,37.41,7.21,4.8,12.69,8.49,40.85,25.05,0.515,106.8,109.11,20.13,109.92,0.543,20.72,0.781,24.27,0.347,22.05,15.84,10.64,36.34,7.31,5.21,13.23,7.98,40.16,25.04,0.53,104.36,111.24,21.61
21800045,0,113.08,0.57,27.22,0.74,31.54,0.354,27.0,14.94,10.84,37.73,8.3,5.98,15.26,8.48,43.68,21.39,0.506,108.71,104.32,20.03,99.32,0.543,21.89,0.774,28.46,0.344,26.15,13.13,6.22,30.3,8.76,5.3,14.18,8.71,35.11,23.47,0.515,103.79,106.3,21.43
